"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"4:39","AN25","Dp2Yey","male","Primary motor area, Layer 6a","MOp6a","/997/8/567/688/695/315/500/985/844/",985,3,79.0472175379427
"4:41","AN25","Dp2Yey","male","anterior commissure, olfactory limb","aco","/997/1009/967/840/900/",840,3,125.439036628199
"4:42","AN25","Dp2Yey","male","Orbital area, medial part, layer 6a","ORBm6a","/997/8/567/688/695/315/714/731/910/",731,120,1632.69748836703
"4:43","AN25","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 6a","ACAd6a","/997/8/567/688/695/315/9999/31/39/919/",39,51,2560.36949646067
"4:44","AN25","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 1","ACAd1","/997/8/567/688/695/315/9999/31/39/935/",39,22,461.632079232851
"4:46","AN25","Dp2Yey","male","Primary motor area, Layer 2/3","MOp2/3","/997/8/567/688/695/315/500/985/943/",985,566,1501.69670502272
"4:47","AN25","Dp2Yey","male","Endopiriform nucleus, dorsal part","EPd","/997/8/567/688/703/942/952/",942,22,572.156770955242
"4:48","AN25","Dp2Yey","male","corpus callosum, anterior forceps","fa","/997/1009/983/776/956/",776,56,1489.08447895339
"4:49","AN25","Dp2Yey","male","Piriform cortex","PIR","/997/8/567/688/695/698/961/",698,725,1395.66400880905
"4:50","AN25","Dp2Yey","male","Secondary motor area, layer 2/3","MOs2/3","/997/8/567/688/695/315/500/993/962/",993,145,520.429551784535
"4:51","AN25","Dp2Yey","male","Agranular insular area, dorsal part, layer 1","AId1","/997/8/567/688/695/315/95/104/996/",104,29,854.071565307024
"4:52","AN25","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 5","ACAd5","/997/8/567/688/695/315/9999/31/39/1015/",39,41,516.81540866233
"4:53","AN25","Dp2Yey","male","Secondary motor area, layer 6a","MOs6a","/997/8/567/688/695/315/500/993/1021/",993,186,728.024236161668
"4:54","AN25","Dp2Yey","male","Infralimbic area, layer 6a","ILA6a","/997/8/567/688/695/315/9999/44/1054/",44,139,2035.88429146833
"4:57","AN25","Dp2Yey","male","Agranular insular area, dorsal part, layer 5","AId5","/997/8/567/688/695/315/95/104/1101/",104,153,775.759788263211
"4:59","AN25","Dp2Yey","male","Orbital area, ventrolateral part, layer 5","ORBvl5","/997/8/567/688/695/315/714/746/1125/",746,37,1006.58360084879
"5:12","AN26","Dp2Yey","male","Nucleus accumbens","ACB","/997/8/567/623/477/493/56/",493,13,303.143363492212
"5:19","AN26","Dp2Yey","male","Prelimbic area, layer 6a","PL6a","/997/8/567/688/695/315/9999/972/84/",972,53,3278.08015833746
"5:30","AN26","Dp2Yey","male","Anterior olfactory nucleus","AON","/997/8/567/688/695/698/159/",698,88,1040.09077155825
"5:35","AN26","Dp2Yey","male","Prelimbic area, layer 1","PL1","/997/8/567/688/695/315/9999/972/171/",972,9,1042.26983207875
"5:48","AN26","Dp2Yey","male","Anterior cingulate area, dorsal part, layer 2/3","ACAd2/3","/997/8/567/688/695/315/9999/31/39/211/",39,5,1084.83402039488
"5:59","AN26","Dp2Yey","male","Prelimbic area, layer 2/3","PL2/3","/997/8/567/688/695/315/9999/972/304/",972,6,975.768417628883
"5:64","AN26","Dp2Yey","male","Primary motor area, Layer 1","MOp1","/997/8/567/688/695/315/500/985/320/",985,5,400.769477396601
"5:68","AN26","Dp2Yey","male","Agranular insular area, dorsal part, layer 2/3","AId2/3","/997/8/567/688/695/315/95/104/328/",104,3,194.237617351894
"5:79","AN26","Dp2Yey","male","Prelimbic area, layer 5","PL5","/997/8/567/688/695/315/9999/972/363/",972,42,1713.51638040064
